model,class_weight,full_macro_f1,blind_macro_f1,absolute_f1_gap,relative_f1_reduction_pct,full_accuracy,blind_accuracy,accuracy_gap,signal_interpretation
Decision Tree,,0.9618,0.0801,0.8817,91.67,0.9143,0.247,0.6673,Dominant spatial predictive signal; complaint location accounts for >90% of model discriminative power.
Decision Tree,balanced,0.9628,0.0678,0.895,92.96,0.9195,0.0707,0.8488,Dominant spatial predictive signal; complaint location accounts for >90% of model discriminative power.
K-Nearest Neighbors,NOT_SUPPORTED,0.9508,0.0895,0.8613,90.59,0.9085,0.174,0.7345,Dominant spatial predictive signal; complaint location accounts for >90% of model discriminative power.
Logistic Regression,,0.9664,0.0688,0.8976,92.88,0.9255,0.2782,0.6473,Dominant spatial predictive signal; complaint location accounts for >90% of model discriminative power.
Logistic Regression,balanced,0.9642,0.075,0.8892,92.22,0.9235,0.0845,0.839,Dominant spatial predictive signal; complaint location accounts for >90% of model discriminative power.
Random Forest,,0.9657,0.0666,0.8991,93.1,0.9235,0.2682,0.6553,Dominant spatial predictive signal; complaint location accounts for >90% of model discriminative power.
Random Forest,balanced,0.9652,0.0902,0.875,90.65,0.9223,0.1472,0.7751,Dominant spatial predictive signal; complaint location accounts for >90% of model discriminative power.
