model_id,withdrawal_zone,TP,FP,FN,precision,recall,f1_score,support
random_forest_blind_none,Zone_04,3,21,516,0.125,0.0058,0.0111,519
random_forest_blind_none,Zone_05,0,0,153,0.0,0.0,0.0,153
random_forest_blind_none,Zone_06,0,0,168,0.0,0.0,0.0,168
random_forest_blind_none,Zone_07,862,2210,225,0.2806,0.793,0.4145,1087
random_forest_blind_none,Zone_08,207,690,661,0.2308,0.2385,0.2346,868
random_forest_blind_none,Zone_09,0,0,46,0.0,0.0,0.0,46
random_forest_blind_none,Zone_10,0,0,232,0.0,0.0,0.0,232
random_forest_blind_balanced,Zone_01,19,301,229,0.0594,0.0766,0.0669,248
random_forest_blind_balanced,Zone_02,24,332,291,0.0674,0.0762,0.0715,315
random_forest_blind_balanced,Zone_03,26,323,338,0.0745,0.0714,0.0729,364
random_forest_blind_balanced,Zone_04,53,436,466,0.1084,0.1021,0.1052,519
random_forest_blind_balanced,Zone_05,4,179,149,0.0219,0.0261,0.0238,153
random_forest_blind_balanced,Zone_06,6,231,162,0.0253,0.0357,0.0296,168
random_forest_blind_balanced,Zone_07,255,655,832,0.2802,0.2346,0.2554,1087
random_forest_blind_balanced,Zone_08,189,604,679,0.2383,0.2177,0.2275,868
random_forest_blind_balanced,Zone_09,0,65,46,0.0,0.0,0.0,46
random_forest_blind_balanced,Zone_10,13,285,219,0.0436,0.056,0.049,232
