model_id,actual_zone,predicted_zone,count,percentage_of_actual_zone
logistic_full_balanced,Zone_01,Zone_07,0,0.0
logistic_full_balanced,Zone_01,Zone_08,0,0.0
logistic_full_balanced,Zone_01,Zone_09,0,0.0
logistic_full_balanced,Zone_01,Zone_10,0,0.0
logistic_full_balanced,Zone_02,Zone_01,0,0.0
logistic_full_balanced,Zone_02,Zone_02,315,100.0
logistic_full_balanced,Zone_02,Zone_03,0,0.0
logistic_full_balanced,Zone_02,Zone_04,0,0.0
logistic_full_balanced,Zone_02,Zone_05,0,0.0
logistic_full_balanced,Zone_02,Zone_06,0,0.0
logistic_full_balanced,Zone_02,Zone_07,0,0.0
logistic_full_balanced,Zone_02,Zone_08,0,0.0
logistic_full_balanced,Zone_02,Zone_09,0,0.0
logistic_full_balanced,Zone_02,Zone_10,0,0.0
logistic_full_balanced,Zone_03,Zone_01,0,0.0
logistic_full_balanced,Zone_03,Zone_02,0,0.0
logistic_full_balanced,Zone_03,Zone_03,364,100.0
logistic_full_balanced,Zone_03,Zone_04,0,0.0
logistic_full_balanced,Zone_03,Zone_05,0,0.0
logistic_full_balanced,Zone_03,Zone_06,0,0.0
logistic_full_balanced,Zone_03,Zone_07,0,0.0
logistic_full_balanced,Zone_03,Zone_08,0,0.0
logistic_full_balanced,Zone_03,Zone_09,0,0.0
logistic_full_balanced,Zone_03,Zone_10,0,0.0
logistic_full_balanced,Zone_04,Zone_01,0,0.0
logistic_full_balanced,Zone_04,Zone_02,0,0.0
logistic_full_balanced,Zone_04,Zone_03,0,0.0
logistic_full_balanced,Zone_04,Zone_04,519,100.0
logistic_full_balanced,Zone_04,Zone_05,0,0.0
logistic_full_balanced,Zone_04,Zone_06,0,0.0
logistic_full_balanced,Zone_04,Zone_07,0,0.0
logistic_full_balanced,Zone_04,Zone_08,0,0.0
logistic_full_balanced,Zone_04,Zone_09,0,0.0
logistic_full_balanced,Zone_04,Zone_10,0,0.0
logistic_full_balanced,Zone_05,Zone_01,0,0.0
logistic_full_balanced,Zone_05,Zone_02,0,0.0
logistic_full_balanced,Zone_05,Zone_03,0,0.0
logistic_full_balanced,Zone_05,Zone_04,0,0.0
logistic_full_balanced,Zone_05,Zone_05,153,100.0
logistic_full_balanced,Zone_05,Zone_06,0,0.0
logistic_full_balanced,Zone_05,Zone_07,0,0.0
logistic_full_balanced,Zone_05,Zone_08,0,0.0
logistic_full_balanced,Zone_05,Zone_09,0,0.0
logistic_full_balanced,Zone_05,Zone_10,0,0.0
logistic_full_balanced,Zone_06,Zone_01,0,0.0
logistic_full_balanced,Zone_06,Zone_02,0,0.0
logistic_full_balanced,Zone_06,Zone_03,0,0.0
logistic_full_balanced,Zone_06,Zone_04,0,0.0
logistic_full_balanced,Zone_06,Zone_05,0,0.0
logistic_full_balanced,Zone_06,Zone_06,157,93.45
logistic_full_balanced,Zone_06,Zone_07,11,6.55
logistic_full_balanced,Zone_06,Zone_08,0,0.0
logistic_full_balanced,Zone_06,Zone_09,0,0.0
logistic_full_balanced,Zone_06,Zone_10,0,0.0
