model,class_weight,full_cv_macro_f1,blind_cv_macro_f1,diff_cv_macro_f1,full_test_macro_f1,blind_test_macro_f1,diff_test_macro_f1,full_test_accuracy,blind_test_accuracy,diff_test_accuracy,full_test_balanced_acc,blind_test_balanced_acc,diff_test_balanced_acc
Decision Tree,None,0.9643,0.0822,0.8821,0.9618,0.0801,0.8817,0.9143,0.247,0.6673,0.9594,0.1027,0.8567
Decision Tree,balanced,0.9656,0.0668,0.8988,0.9628,0.0678,0.895,0.9195,0.0707,0.8488,0.9635,0.0991,0.8644
K-Nearest Neighbors,NOT_SUPPORTED,0.9565,0.0963,0.8602,0.9508,0.0895,0.8613,0.9085,0.174,0.7345,0.9429,0.0942,0.8487
Logistic Regression,None,0.9683,0.0681,0.9002,0.9664,0.0688,0.8976,0.9255,0.2782,0.6473,0.9643,0.1081,0.8562
Logistic Regression,balanced,0.965,0.0776,0.8874,0.9642,0.075,0.8892,0.9235,0.0845,0.839,0.9647,0.0878,0.8769
Random Forest,None,0.9678,0.0679,0.8999,0.9657,0.0666,0.8991,0.9235,0.2682,0.6553,0.9643,0.104,0.8603
Random Forest,balanced,0.9675,0.1,0.8675,0.9652,0.0902,0.875,0.9223,0.1472,0.7751,0.9641,0.0897,0.8744
